frame_idx,t,dt,keys_down
240,1774004689.816802,0.163989,[]
241,1774004689.984995,0.168192,[]
242,1774004690.153088,0.168093,[]
243,1774004690.314673,0.161585,[]
244,1774004690.488086,0.173413,[]
245,1774004690.655927,0.167840,[]
246,1774004690.817159,0.161232,[]
247,1774004690.995846,0.178687,[]
248,1774004691.162246,0.166401,["Key.right", "Key.space"]
249,1774004691.317302,0.155055,["Key.right", "Key.space"]
250,1774004691.493085,0.175784,["Key.right", "Key.space"]
251,1774004691.660064,0.166978,["Key.right", "Key.space"]
252,1774004691.820811,0.160747,["Key.right", "Key.space"]
253,1774004691.985580,0.164769,["Key.right", "Key.space"]
254,1774004692.168767,0.183187,["Key.right", "Key.space"]
255,1774004692.338754,0.169987,["Key.right", "Key.space"]
256,1774004692.512906,0.174152,["Key.left"]
257,1774004692.667291,0.154385,["Key.space"]
258,1774004692.836715,0.169424,["Key.right"]
259,1774004692.997131,0.160416,["Key.right"]
260,1774004693.152364,0.155233,[]
261,1774004693.319127,0.166763,[]
262,1774004693.484832,0.165705,["Key.right"]
263,1774004693.652049,0.167217,["Key.right"]
264,1774004693.811476,0.159427,["Key.right"]
265,1774004693.967772,0.156296,[]
266,1774004694.139707,0.171935,[]
267,1774004694.298390,0.158682,[]
268,1774004694.463897,0.165507,[]
269,1774004694.628304,0.164407,[]
270,1774004694.786523,0.158219,[]
271,1774004694.945234,0.158711,[]
272,1774004695.108021,0.162787,[]
273,1774004695.272796,0.164775,[]
274,1774004695.439053,0.166257,[]
275,1774004695.604178,0.165126,[]
276,1774004695.764349,0.160171,[]
277,1774004695.929974,0.165625,[]
278,1774004696.097438,0.167464,[]
279,1774004696.268927,0.171490,[]
280,1774004696.437755,0.168828,[]
281,1774004696.597587,0.159832,[]
282,1774004696.766982,0.169394,[]
283,1774004696.935011,0.168029,[]
284,1774004697.100689,0.165678,[]
285,1774004697.264604,0.163915,[]
286,1774004697.437861,0.173257,[]
287,1774004697.589833,0.151972,[]
288,1774004697.751634,0.161801,[]
289,1774004697.910594,0.158960,[]
290,1774004698.065522,0.154928,[]
291,1774004698.234035,0.168513,[]
292,1774004698.419333,0.185298,[]
293,1774004698.593096,0.173763,[]
294,1774004698.764293,0.171197,[]
295,1774004698.928559,0.164266,[]
296,1774004699.091841,0.163282,[]
297,1774004699.245767,0.153927,[]
298,1774004699.393300,0.147532,[]
299,1774004699.563899,0.170599,[]
300,1774004699.738004,0.174105,[]
301,1774004699.913119,0.175115,[]
302,1774004700.082131,0.169012,[]
303,1774004700.249141,0.167010,[]
304,1774004700.442292,0.193151,[]
305,1774004700.622012,0.179720,[]
306,1774004700.805405,0.183393,[]
307,1774004700.967904,0.162499,[]
308,1774004701.129620,0.161716,[]
309,1774004701.289798,0.160178,[]
